id,created_at,favorite_count,retweet_count,sentiment,change
1391895231310618625,2021-05-10,31228,3652,0.19999999999999998,-35.86004600000001
1390069001892503553,2021-05-05,47509,12999,0.13636363636363635,-10.119995999999901
1389672850089418752,2021-05-04,19151,1915,0.4,-5.34002600000008
1389658967681368065,2021-05-04,49843,4217,0.375,-5.34002600000008
1387630426253008897,2021-04-29,31393,3166,0.4,-22.510009999999966
1387616427998289922,2021-04-29,66440,6095,0.25,-22.510009999999966
1385701092126830598,2021-04-23,65016,8830,0.8,9.600036000000046
1385564391030935555,2021-04-23,13801,1541,0.13636363636363635,9.600036000000046
1385534616820277249,2021-04-23,51382,6182,0.2,9.600036000000046
1385534214662066178,2021-04-23,20624,1762,0.375,9.600036000000046
1385532050141106176,2021-04-23,10337,1207,0.18888888888888888,9.600036000000046
1385513352760225792,2021-04-23,77530,7191,0.2,9.600036000000046
1385300927343521794,2021-04-22,50876,5672,0.41818181818181815,-21.80999799999995
1384527518091202569,2021-04-20,51510,5304,0.7,1.5700070000000323
1383160370248896512,2021-04-16,118854,19852,0.14962121212121213,11.130004999999983
1379851411840593925,2021-04-07,39964,3704,0.4,-16.030029000000013
1379837350977540101,2021-04-07,27968,3361,0.375,-16.030029000000013
1379828046333505536,2021-04-07,5804,571,0.41818181818181815,-16.030029000000013
1379033588344123395,2021-04-05,10636,1128,-0.2,-16.660033999999996
1376902938635870209,2021-03-30,94470,8754,0.13636363636363635,33.86999500000002
1376881105689714694,2021-03-30,23078,3905,0.13636363636363635,33.86999500000002
1374655811146768386,2021-03-24,61495,5358,0.4,-37.63995299999999
1374641575192522754,2021-03-24,20285,1022,0.375,-37.63995299999999
1374631757014654978,2021-03-24,5931,474,0.13636363636363635,-37.63995299999999
1369941067416567808,2021-03-11,39536,3402,0.4,0.1999519999999393
1369926878497181696,2021-03-11,16067,1457,0.25,0.1999519999999393
1369917717315211264,2021-03-11,3182,283,0.13636363636363635,0.1999519999999393
1369100478831677440,2021-03-09,13626,1275,0.7,65.40002400000003
1367407265901285381,2021-03-04,98745,9012,0.4,-34.359985999999935
1367393156073857027,2021-03-04,51653,2074,0.375,-34.359985999999935
1367382859271467010,2021-03-04,29929,1982,0.13636363636363635,-34.359985999999935
1367250900041953280,2021-03-03,60904,17925,0.13636363636363635,-34.78997800000002
1367206212765315074,2021-03-03,19343,3881,0.13636363636363635,-34.78997800000002
1366854158599352320,2021-03-02,12441,877,-0.0625,-31.840026999999964
1366434925692542979,2021-03-01,11608,945,-0.2625,28.320007999999916
1366199790741065729,2021-03-01,10200,591,0.175,28.320007999999916
1366199788648030212,2021-03-01,17316,1198,0.46190476190476193,28.320007999999916
1364552086629842947,2021-02-24,17055,1134,0.3,30.170044000000075
1362509291543007233,2021-02-18,63705,7696,0.5166666666666667,6.4799809999999525
1361542266163130369,2021-02-16,155038,15570,0.4,-21.780029000000013
1361522806555430918,2021-02-16,5024,339,0.05,-21.780029000000013
1361522805477502983,2021-02-16,5001,286,0.3666666666666667,-21.780029000000013
1361522804273778689,2021-02-16,10570,993,0.025,-21.780029000000013
1361517988009021440,2021-02-16,6258,584,0.41818181818181815,-21.780029000000013
1359261256096509953,2021-02-09,102831,9962,0.056249999999999994,-5.659973000000036
1357785626561572864,2021-02-05,17133,1509,-0.07777777777777779,7.229979999999955
1357446743789506560,2021-02-04,61567,5139,0.3,-5.010009999999966
1357441415454674944,2021-02-04,8970,863,-0.08333333333333333,-5.010009999999966
1357353526163197953,2021-02-04,8745,351,-0.022222222222222216,-5.010009999999966
1357229343865380864,2021-02-04,15383,1491,0.4,-5.010009999999966
1357214992546680832,2021-02-04,36240,3356,0.375,-5.010009999999966
